Date,TRDPRC_1,OPEN_PRC,HIGH_1,LOW_1,ACVOL_UNS
2015-01-02,1752.77,1757.15,1757.96,1741.45,63584500
2015-01-05,1736.62,1758.43,1759.15,1734.51,98141200
2015-01-06,1716.58,1730.94,1730.94,1708.78,146055300
2015-01-07,1709.18,1714.7,1717.17,1706.18,171015600
2015-01-08,1728.06,1714.4,1730.18,1714.02,121085200
2015-01-09,1732.44,1734.61,1738.54,1725.81,126253700
2015-01-12,1735.08,1730.1,1735.08,1718.76,95901300
2015-01-13,1748.9,1726.54,1750.16,1725.98,147553800
2015-01-14,1742.01,1742.66,1744.71,1736.77,182004300
2015-01-15,1745.0,1747.54,1750.94,1738.24,182936200
2015-01-16,1743.57,1740.19,1746.24,1732.35,153211200
2015-01-19,1753.31,1745.5,1755.12,1745.5,130847300
2015-01-20,1750.11,1754.21,1754.34,1745.64,123144400
2015-01-21,1770.09,1752.9,1770.09,1751.46,178473900
2015-01-22,1781.75,1767.74,1787.91,1763.68,218990200
2015-01-23,1803.08,1792.47,1809.33,1788.78,220325800
2015-01-26,1796.44,1800.49,1801.06,1792.65,135443400
2015-01-27,1803.17,1789.96,1810.21,1788.55,171841200
2015-01-28,1795.88,1794.76,1800.64,1790.02,160786800
2015-01-29,1782.18,1791.59,1794.82,1779.17,169142100
2015-01-30,1781.26,1788.36,1789.39,1781.26,166393700
2015-02-04,1803.02,1814.72,1831.41,1801.09,212030900
2015-02-05,1803.21,1803.79,1804.25,1796.41,146021500
2015-02-06,1813.25,1806.31,1814.3,1806.07,149330500
2015-02-09,1811.58,1815.62,1818.31,1805.16,121884800
2015-02-10,1811.12,1812.74,1816.62,1808.69,148413700
2015-02-11,1798.95,1810.98,1812.08,1790.8,142227300
2015-02-12,1789.07,1790.69,1791.0,1780.21,180664500
2015-02-13,1800.95,1791.68,1800.95,1790.31,149295800
2015-02-16,1808.89,1804.94,1809.71,1800.24,139722700
2015-02-17,1810.09,1808.41,1810.9,1804.52,83598400
2015-02-18,1807.87,1806.54,1815.95,1806.17,64911600
2015-02-23,1809.39,1811.01,1812.75,1804.95,125838300
2015-02-24,1818.68,1812.01,1819.24,1812.01,146632200
2015-02-25,1815.86,1818.22,1818.35,1808.65,143944200
2015-02-26,1820.87,1813.88,1821.67,1812.9,120979000
2015-02-27,1821.21,1822.27,1825.65,1811.74,191171400
2015-03-02,1817.13,1822.91,1825.33,1812.35,139426400
2015-03-03,1821.25,1820.43,1825.79,1817.94,154348900
2015-03-04,1825.54,1825.66,1826.05,1819.18,146216800
2015-03-05,1806.09,1819.66,1819.67,1805.8,207278600
2015-03-06,1806.96,1804.86,1809.65,1799.8,166422000
2015-03-09,1791.74,1790.59,1795.76,1778.99,158047500
2015-03-10,1789.73,1794.82,1799.05,1789.73,159461600
2015-03-11,1778.16,1783.47,1787.23,1774.97,153240500
2015-03-12,1786.87,1780.75,1789.92,1780.65,130340400
2015-03-13,1781.75,1784.98,1789.36,1781.75,93208900
2015-03-16,1780.54,1777.28,1787.29,1774.3,105702000
2015-03-17,1787.87,1779.96,1789.4,1779.96,97694500
2015-03-18,1797.57,1790.32,1800.83,1787.77,119164000
2015-03-19,1809.13,1798.22,1815.71,1798.03,112841600
