Date,TRDPRC_1,OPEN_PRC,HIGH_1,LOW_1,ACVOL_UNS
2015-01-02,3370.59,3364.08,3375.13,3359.95,112173000
2015-01-05,3328.28,3368.38,3369.05,3319.72,141808300
2015-01-06,3281.95,3294.24,3295.51,3272.4,282805600
2015-01-07,3298.36,3281.94,3309.8,3267.89,217210000
2015-01-08,3345.11,3303.65,3347.21,3299.64,204809700
2015-01-09,3338.44,3368.42,3372.34,3328.96,236119269
2015-01-12,3344.89,3332.96,3347.76,3331.72,185648000
2015-01-13,3341.07,3334.06,3346.6,3325.43,259175959
2015-01-14,3326.16,3336.43,3349.19,3326.12,261225900
2015-01-15,3338.84,3330.75,3342.13,3327.4,221501031
2015-01-16,3300.68,3325.53,3341.55,3291.5,295389085
2015-01-19,3307.7,3318.59,3324.34,3297.89,163759600
2015-01-20,3334.02,3315.57,3338.69,3311.59,162165200
2015-01-21,3354.46,3336.58,3354.46,3331.27,261308900
2015-01-22,3370.29,3352.2,3377.34,3349.11,324115400
2015-01-23,3411.5,3390.46,3419.3,3388.33,358072300
2015-01-26,3398.52,3409.36,3409.75,3393.24,272431500
2015-01-27,3412.2,3414.48,3428.49,3406.89,288062927
2015-01-28,3419.15,3405.07,3427.19,3404.17,260533600
2015-01-29,3419.05,3402.37,3428.39,3402.18,216797100
2015-01-30,3391.2,3422.18,3432.62,3391.2,355914300
2015-02-02,3423.35,3398.51,3423.35,3394.54,253285300
2015-02-03,3408.02,3421.83,3422.18,3401.03,208365400
2015-02-04,3417.57,3420.28,3432.1,3413.03,251205600
2015-02-05,3406.58,3414.91,3415.14,3394.95,235852286
2015-02-06,3431.36,3411.48,3441.66,3407.95,312390100
2015-02-09,3418.02,3425.73,3434.48,3416.26,290562900
2015-02-10,3434.24,3417.47,3434.79,3417.45,244810100
2015-02-11,3444.57,3439.49,3448.96,3431.08,183198400
2015-02-12,3419.17,3443.47,3443.88,3409.38,220433600
2015-02-13,3426.22,3424.62,3429.47,3413.56,270323800
2015-02-16,3427.16,3417.67,3427.16,3406.13,227862500
2015-02-17,3415.91,3418.4,3420.16,3409.03,210038300
2015-02-18,3435.66,3428.71,3443.05,3425.89,169587400
2015-02-23,3421.3,3456.21,3458.14,3421.3,308895600
2015-02-24,3437.61,3427.56,3437.61,3415.91,289288700
2015-02-25,3440.83,3444.77,3455.32,3437.55,411220100
2015-02-26,3426.18,3439.24,3439.29,3417.47,247515100
2015-02-27,3402.86,3420.82,3428.75,3402.86,382429100
2015-03-02,3403.89,3408.88,3412.08,3389.73,308115300
2015-03-03,3422.11,3416.56,3430.81,3415.7,371102300
2015-03-04,3415.53,3420.82,3430.19,3415.43,251370900
2015-03-05,3395.27,3411.37,3422.03,3395.27,223968100
2015-03-06,3417.51,3410.31,3423.76,3406.38,271006600
2015-03-09,3404.57,3395.36,3408.42,3384.07,299616100
2015-03-10,3398.26,3407.42,3416.39,3394.52,278885700
2015-03-11,3378.59,3380.67,3391.82,3369.42,304463500
2015-03-12,3373.6,3371.63,3380.41,3357.11,197420200
2015-03-13,3362.77,3369.18,3381.46,3362.16,173560000
2015-03-16,3376.04,3361.38,3387.36,3358.03,171591700
2015-03-17,3369.95,3392.29,3397.93,3366.57,286039800
2015-03-18,3361.75,3357.97,3373.57,3356.66,238810900
2015-03-19,3386.16,3375.83,3386.16,3371.76,274184100
2015-03-20,3412.44,3385.09,3417.45,3376.62,368646500
2015-03-23,3410.13,3413.65,3430.32,3409.42,211073100
2015-03-24,3413.26,3411.28,3421.61,3408.4,202608700
2015-03-25,3419.02,3413.72,3422.72,3404.63,167187100
2015-03-26,3431.59,3412.15,3439.15,3406.75,209192700
2015-03-27,3450.1,3436.12,3453.6,3434.13,291269000
2015-03-30,3454.26,3441.94,3458.71,3440.3,195255018
2015-03-31,3447.01,3469.02,3469.02,3442.44,300525300
2015-04-01,3447.02,3439.76,3450.54,3435.59,220184204
2015-04-02,3453.75,3446.6,3454.8,3444.8,185135460
2015-04-06,3452.91,3451.73,3458.18,3451.21,143477600
