Date,TRDPRC_1,OPEN_PRC,HIGH_1,LOW_1,ACVOL_UNS
2015-01-05,1483.25,1499.7,1502.1,1482.87,7129188000
2015-01-06,1477.58,1467.97,1478.35,1459.22,31337759000
2015-01-07,1500.75,1478.84,1500.83,1478.26,12400607000
2015-01-08,1521.62,1514.9,1523.32,1514.18,18000262000
2015-01-09,1529.42,1529.5,1531.21,1522.75,32278566000
2015-01-12,1531.21,1527.42,1538.93,1522.17,11352093000
2015-01-13,1534.97,1520.71,1537.08,1515.08,12734811000
2015-01-14,1523.24,1539.58,1548.24,1521.81,18593544000
2015-01-15,1523.38,1528.83,1535.56,1521.01,9325405000
2015-01-16,1517.74,1515.71,1525.65,1514.83,9605536000
2015-01-19,1535.37,1528.03,1536.14,1524.62,9192003000
2015-01-20,1535.09,1539.46,1542.6,1531.55,12454428000
2015-01-21,1537.36,1538.31,1540.08,1530.83,12521951000
2015-01-22,1560.34,1546.76,1561.3,1543.67,14023763000
2015-01-23,1598.33,1570.81,1601.05,1569.52,14419285000
2015-01-26,1588.31,1602.13,1610.78,1588.04,12421546000
2015-01-27,1589.81,1589.44,1605.67,1586.94,13410556000
2015-01-28,1592.81,1594.5,1603.12,1582.66,15496412000
2015-01-29,1586.4,1591.94,1599.49,1582.36,20480907000
2015-01-30,1581.25,1591.54,1592.83,1581.01,12631091000
2015-02-02,1582.7,1577.65,1583.99,1571.69,20475046000
2015-02-03,1602.54,1592.08,1604.84,1591.85,17021041000
2015-02-04,1599.81,1616.41,1619.77,1599.81,13779598000
2015-02-05,1607.92,1595.06,1607.92,1588.06,10842035000
2015-02-06,1613.63,1614.47,1615.78,1609.07,10766491000
2015-02-09,1601.77,1609.78,1614.97,1601.77,14941849000
2015-02-10,1594.96,1600.57,1606.69,1592.59,13261909000
2015-02-11,1605.11,1599.42,1605.69,1583.93,11620442000
2015-02-12,1613.4,1606.06,1613.44,1598.64,10709599000
2015-02-13,1615.89,1616.79,1619.65,1611.58,11976548000
2015-02-16,1608.04,1616.89,1619.17,1607.83,10871066000
2015-02-17,1587.75,1607.32,1610.21,1587.75,14623488000
2015-02-18,1603.14,1590.71,1603.7,1590.21,18185161000
2015-02-19,1599.96,1603.22,1608.0,1598.18,12518904000
2015-02-20,1603.45,1604.56,1609.15,1600.63,11439186000
2015-02-23,1593.89,1608.53,1610.24,1593.48,15780616000
2015-02-24,1598.66,1597.0,1604.96,1595.48,12822547000
2015-02-25,1589.33,1602.16,1603.1,1584.12,13572312000
2015-02-26,1593.55,1590.29,1593.56,1566.96,15842805000
2015-02-27,1587.01,1590.93,1594.44,1586.1,15487499000
2015-03-02,1582.14,1588.14,1590.02,1573.64,16545987000
2015-03-03,1562.84,1580.36,1582.67,1562.84,19966433000
2015-03-05,1553.33,1559.4,1561.88,1545.1,15072617000
2015-03-06,1568.29,1553.05,1568.7,1552.06,9321764000
2015-03-09,1559.71,1558.54,1565.19,1553.17,9535636000
2015-03-10,1531.04,1560.94,1562.82,1531.0,10417478000
2015-03-11,1543.84,1524.38,1544.19,1520.2,11391365000
2015-03-12,1544.34,1543.06,1549.02,1534.11,8931543000
2015-03-13,1541.55,1547.68,1551.86,1539.56,8877237000
2015-03-16,1515.57,1534.47,1535.9,1512.17,11994588000
2015-03-17,1512.84,1525.5,1527.95,1511.4,9918481000
2015-03-18,1531.5,1513.99,1533.14,1512.25,8278942000
2015-03-19,1532.13,1543.63,1544.69,1529.66,8925692000
2015-03-20,1529.96,1533.91,1535.36,1517.3,10197622000
2015-03-23,1520.01,1535.86,1539.57,1518.79,16685355000
2015-03-24,1514.45,1518.47,1519.09,1499.88,14812363000
2015-03-25,1512.8,1514.04,1520.88,1512.77,8420965000
2015-03-26,1496.41,1506.08,1512.76,1496.38,9841326000
2015-03-27,1495.22,1494.22,1496.02,1484.91,7941280000
2015-03-30,1496.51,1501.08,1504.54,1495.37,7022493000
2015-03-31,1505.94,1502.25,1509.33,1498.89,52941465000
2015-04-01,1525.58,1506.35,1525.63,1502.74,33801110000
2015-04-02,1532.23,1530.84,1539.65,1525.3,11287173000
2015-04-03,1536.05,1536.04,1537.97,1530.63,7493663000
2015-04-07,1549.53,1545.21,1555.1,1543.58,7457655000
2015-04-08,1544.86,1553.11,1556.13,1544.14,10225591000
2015-04-09,1545.11,1545.86,1550.83,1542.25,5391387000
2015-04-10,1547.83,1547.92,1549.66,1540.25,5525163000
2015-04-16,1570.0,1560.86,1570.0,1555.96,6431269000
2015-04-17,1566.85,1572.88,1575.39,1566.65,8828969000
2015-04-20,1560.32,1565.67,1567.04,1556.25,7916560000
2015-04-21,1569.35,1566.35,1572.04,1565.3,7540412000
2015-04-22,1552.01,1571.15,1571.5,1552.0,7638296000
2015-04-23,1544.84,1556.61,1562.32,1543.47,8678628000
2015-04-24,1555.46,1549.68,1556.1,1545.83,8500672000
2015-04-27,1548.83,1559.2,1562.64,1546.66,8519282000
2015-04-28,1531.53,1549.2,1549.53,1525.92,8714907000
2015-04-29,1522.47,1521.55,1529.29,1513.42,8417836000
2015-04-30,1526.74,1520.55,1531.5,1520.01,6373841000
2015-05-06,1519.88,1529.56,1531.75,1514.79,7951855000
2015-05-07,1498.31,1514.84,1521.86,1498.31,14243391000
2015-05-08,1510.51,1502.29,1514.64,1494.92,7163435000
2015-05-11,1501.3,1517.05,1520.49,1501.3,6635616000
2015-05-12,1485.72,1499.28,1501.12,1478.9,7862605000
2015-05-13,1495.95,1490.93,1497.02,1487.46,6353474000
2015-05-14,1497.4,1496.2,1500.38,1484.95,6549984000
2015-05-15,1512.19,1496.98,1512.19,1494.79,7146990000
2015-05-18,1510.41,1510.21,1515.65,1505.67,6212052000
2015-05-19,1525.96,1513.83,1527.6,1513.13,6584516000
2015-05-20,1520.11,1527.65,1530.85,1518.38,6948656000
2015-05-21,1526.25,1523.33,1529.94,1522.59,7687960000
2015-05-22,1523.86,1533.17,1536.3,1522.06,6925508000
2015-05-25,1508.16,1526.3,1528.13,1508.16,5606321000
2015-05-26,1497.98,1508.12,1513.02,1497.98,8261020000
2015-05-27,1500.84,1491.43,1501.61,1486.63,5542772000
2015-05-28,1493.61,1502.49,1503.38,1487.15,5678894000
2015-05-29,1496.05,1495.64,1500.5,1491.57,6071366000
2015-06-02,1476.87,1492.45,1494.19,1476.28,6171413000
