Date,TRDPRC_1,OPEN_PRC,HIGH_1,LOW_1,ACVOL_UNS
2015-01-05,544.45,545.43,549.22,543.78,95950000
2015-01-06,549.66,539.08,550.11,538.82,112316000
2015-01-07,552.05,548.44,555.83,548.44,111705000
2015-01-08,553.47,553.49,556.8,552.15,77867000
2015-01-09,569.73,555.53,570.52,555.53,107475000
2015-01-12,574.32,575.86,579.73,574.07,134929000
2015-01-13,580.6,573.26,580.65,573.26,111665000
2015-01-14,577.01,579.77,582.21,571.67,108938000
2015-01-15,577.74,577.01,581.24,575.36,120096000
2015-01-16,574.81,576.88,578.51,574.08,106678000
2015-01-19,571.51,576.5,579.06,570.1,88382000
2015-01-20,572.22,570.78,574.96,570.14,79463000
2015-01-21,569.12,573.54,574.41,569.12,83040000
2015-01-22,574.54,569.74,576.48,567.82,83829000
2015-01-23,582.38,578.22,583.57,577.57,184123000
2015-01-26,580.64,584.89,586.76,580.64,139907000
2015-01-27,579.3,580.45,584.28,575.5,157541000
2015-01-28,583.76,579.56,584.35,578.59,113561000
2015-01-29,583.28,584.18,585.66,580.37,109682000
2015-01-30,576.07,584.08,584.08,574.46,102198000
2015-02-02,570.37,576.07,579.73,570.37,85072000
2015-02-03,557.47,572.56,574.83,557.47,96961000
2015-02-04,561.45,556.93,561.69,553.21,100170000
2015-02-05,567.17,562.17,568.22,562.05,78743000
2015-02-06,574.13,569.03,574.36,569.03,64275000
2015-02-09,573.55,574.06,577.04,572.79,71317000
2015-02-10,574.52,575.74,578.42,574.24,73831000
2015-02-11,581.76,574.88,581.76,574.88,77500000
2015-02-12,584.67,582.52,584.99,581.86,82989000
2015-02-13,587.24,586.26,589.02,585.6,73838000
2015-02-24,596.95,590.18,596.95,589.74,62893000
2015-02-25,592.66,596.9,601.55,592.66,99238000
2015-02-26,596.72,593.95,597.07,591.78,89935000
2015-02-27,592.57,598.0,598.4,590.58,78310000
2015-03-02,590.73,591.75,593.72,588.59,86656000
2015-03-03,596.72,590.42,597.45,590.42,112827000
2015-03-04,600.39,598.49,600.69,595.34,120522000
2015-03-05,596.91,601.08,602.4,596.75,134358000
2015-03-06,593.97,596.42,598.33,592.71,101676000
2015-03-09,588.44,594.08,596.32,587.27,98831000
2015-03-10,589.66,586.38,591.17,586.38,105174000
2015-03-11,586.54,589.04,590.56,586.49,86316000
2015-03-12,588.53,585.89,589.67,585.48,82740000
2015-03-13,586.1,589.04,591.75,586.1,97282000
2015-03-16,580.8,583.26,586.19,580.55,100539000
2015-03-17,581.76,580.6,583.59,580.6,105055000
2015-03-18,578.68,580.81,581.53,577.26,108041000
2015-03-19,573.74,579.39,580.32,573.52,84527000
2015-03-20,575.44,572.57,577.56,571.92,151537000
2015-03-23,570.89,576.64,579.39,570.44,99548000
