Date,TRDPRC_1,OPEN_PRC,HIGH_1,LOW_1,ACVOL_UNS
2015-01-05,544.45,545.43,549.22,543.78,91834620
2015-01-06,549.66,539.08,550.11,538.82,94081890
2015-01-07,552.05,548.44,555.83,548.44,109445780
2015-01-08,553.47,553.49,556.8,552.15,73883040
2015-01-09,569.73,555.53,570.52,555.53,104203680
2015-01-12,574.32,575.86,579.73,574.07,123328210
2015-01-13,580.6,573.26,580.65,573.26,93250940
2015-01-14,577.01,579.77,582.21,571.67,105588770
2015-01-15,577.74,578.31,581.24,575.36,111809300
2015-01-16,574.81,576.88,578.51,574.08,103715770
2015-01-19,571.51,576.5,579.06,570.1,85869950
2015-01-20,572.22,570.78,574.96,570.14,72955320
2015-01-21,569.12,573.54,574.41,569.12,75650990
2015-01-22,574.54,569.74,576.48,567.82,77924420
2015-01-23,582.38,578.22,583.57,577.57,116961120
2015-01-26,580.64,584.89,586.76,580.64,92614650
2015-01-27,579.3,580.45,584.28,575.5,138720400
2015-01-28,583.76,579.56,584.35,578.59,107448470
2015-01-29,583.28,584.18,585.66,580.37,93424200
2015-01-30,576.07,584.08,584.08,574.46,97717870
2015-02-02,570.37,576.07,579.73,570.37,66840420
2015-02-03,557.47,572.56,574.83,557.47,93996200
2015-02-04,561.45,556.93,561.69,553.21,90940000
2015-02-05,567.17,562.17,568.22,562.05,69467520
2015-02-06,574.13,569.03,574.36,569.03,58140870
2015-02-09,573.55,574.06,577.04,572.79,62712850
2015-02-10,574.52,575.74,578.42,574.24,61234350
2015-02-11,581.76,574.88,581.76,574.88,70560970
2015-02-12,584.67,582.52,584.99,581.86,79108960
2015-02-13,587.24,586.26,589.02,585.6,72295080
2015-02-24,596.95,590.18,596.95,589.74,61107780
2015-02-25,592.66,596.9,601.55,592.66,96802090
2015-02-26,596.72,593.95,597.07,591.78,84963550
2015-02-27,592.57,598.0,598.4,590.58,76140470
2015-03-02,590.73,591.75,593.72,588.59,76507740
2015-03-03,596.72,590.42,597.45,590.42,108805820
2015-03-04,600.39,598.49,600.69,595.34,115432610
2015-03-05,596.91,601.08,602.4,596.75,121956230
2015-03-06,593.97,596.42,598.33,592.71,96217780
2015-03-09,588.44,594.08,596.32,587.27,90927440
2015-03-10,589.66,586.38,591.17,586.38,93334410
2015-03-11,586.54,589.04,590.56,586.49,79076070
2015-03-12,588.53,585.89,589.67,585.48,79994860
2015-03-13,586.1,589.04,591.75,586.1,88834970
2015-03-16,580.8,583.26,586.19,580.55,98790020
2015-03-17,581.76,580.6,583.59,580.6,88737460
2015-03-18,578.68,580.81,581.53,577.26,86795050
2015-03-19,573.74,579.39,580.32,573.52,81752950
2015-03-20,575.44,572.57,577.56,571.92,145321980
2015-03-23,570.89,576.64,579.39,570.44,92533430
2015-03-24,567.43,569.33,569.91,562.07,85257700
2015-03-25,560.93,567.62,568.4,559.87,83089270
2015-03-26,556.16,556.12,559.68,553.19,78108910
2015-03-27,551.42,558.93,561.13,549.65,83668500
2015-03-30,545.19,551.75,554.26,545.07,85631540
2015-03-31,551.13,544.87,552.31,544.87,80466510
2015-04-01,538.91,550.8,551.69,537.3,109335350
2015-04-02,546.85,540.54,546.85,536.87,85076890
2015-04-03,547.85,548.69,550.3,544.22,69546330
2015-04-06,542.97,548.11,549.28,542.97,54696270
2015-04-07,548.11,542.71,548.37,540.79,89727690
2015-04-08,547.72,549.69,551.23,546.29,70218920
2015-04-09,550.52,547.26,552.53,546.76,83461270
2015-04-10,554.03,550.96,557.65,550.96,94475400
2015-04-13,559.54,556.35,559.68,555.97,68397200
2015-04-14,558.67,559.81,562.95,558.49,64342770
2015-04-15,564.5,558.94,565.39,558.94,74772590
2015-04-16,568.28,568.38,570.68,566.25,96584510
2015-04-17,568.32,568.87,572.76,568.32,104793290
2015-04-20,565.04,568.52,568.83,562.66,65083490
2015-04-21,562.24,563.78,567.52,562.24,81797060
2015-04-22,562.51,562.58,565.04,561.53,89314350
2015-04-23,561.25,562.85,564.45,557.57,71098650
2015-04-24,565.77,563.17,567.36,561.56,54121630
2015-04-27,562.4,567.77,568.47,562.4,53676760
2015-05-04,545.08,560.62,563.36,545.08,111153790
2015-05-05,552.65,544.8,552.65,539.04,100089470
2015-05-06,549.3,553.3,555.51,548.17,80300720
2015-05-07,552.98,548.51,554.22,547.53,65236660
2015-05-08,554.51,551.57,556.39,550.93,70875790
2015-05-11,551.67,554.51,556.2,550.57,88473680
2015-05-12,544.41,551.98,552.56,542.7,72362280
2015-05-13,542.82,545.5,546.99,538.76,76185760
2015-05-14,543.69,542.53,545.0,540.72,64983330
2015-05-15,537.44,543.61,545.48,537.44,72939360
2015-05-18,528.95,535.82,536.71,528.9,101571460
